	,
ღ	♥
ᆞ	.
 	-
ᬆ	ᬅ
ᬈ	ᬇ
ᬊ	ᬉ
ᬌ	ᬋ
ᬎ	ᬍ
ᬒ	ᬑ
ᬻ	ᬺ
ᬽ	ᬼ
ᭀ	ᬾ
ᭁ	ᬿ
ᭃ	ᭂ
ᴀ	A
ᴃ	B
ᴄ	C
ᴅ	D
ᴆ	D
ᴇ	E
ᴈ	E
ᴉ	i
ᴊ	J
ᴋ	K
ᴌ	L
ᴍ	M
ᴎ	N
ᴏ	O
ᴐ	C
ᴑ	O
ᴘ	P
ᴙ	R
ᴚ	R
ᴛ	T
ᴜ	U
ᴠ	V
ᴡ	M
ᴢ	Z
ᴣ	e
ᴩ	P
ᵅ	α
ᵋ	ε
ᵠ	ψ
ᵡ	X
ᵩ	ψ
ᵪ	X
ᶥ	ι
ᶲ	φ
Ḁ	A
ḁ	a
Ḃ	B
ḃ	b
Ḅ	B
ḅ	b
Ḇ	B
ḇ	b
Ḉ	C
ḉ	c
Ḋ	D
ḋ	d
Ḍ	D
ḍ	d
Ḏ	D
ḏ	d
Ḑ	D
ḑ	d
Ḓ	D
ḓ	d
Ḕ	E
ḕ	e
Ḗ	E
ḗ	e
Ḙ	E
ḙ	e
Ḛ	E
ḛ	e
Ḝ	E
ḝ	e
Ḟ	F
ḟ	f
Ḡ	G
ḡ	g
Ḣ	H
ḣ	h
Ḥ	H
ḥ	h
Ḧ	H
ḧ	h
Ḩ	H
ḩ	h
Ḫ	H
ḫ	h
Ḭ	I
ḭ	i
Ḯ	I
ḯ	i
Ḱ	K
ḱ	k
Ḳ	K
ḳ	k
Ḵ	K
ḵ	k
Ḷ	L
ḷ	l
Ḹ	L
ḹ	l
Ḻ	L
ḻ	l
Ḽ	L
ḽ	l
Ḿ	M
ḿ	m
Ṁ	M
ṁ	m
Ṃ	M
ṃ	m
Ṅ	N
ṅ	n
Ṇ	N
ṇ	n
Ṉ	N
ṉ	n
Ṋ	N
ṋ	n
Ṍ	O
ṍ	o
Ṏ	O
ṏ	o
Ṑ	O
ṑ	o
Ṓ	O
ṓ	o
Ṕ	P
ṕ	p
Ṗ	P
ṗ	p
Ṙ	R
ṙ	r
Ṛ	R
ṛ	r
Ṝ	R
ṝ	r
Ṟ	R
ṟ	r
Ṡ	S
ṡ	s
Ṣ	S
ṣ	s
Ṥ	S
ṥ	s
Ṧ	S
ṧ	s
Ṩ	S
ṩ	s
Ṫ	T
ṫ	t
Ṭ	T
ṭ	t
Ṯ	T
ṯ	t
Ṱ	T
ṱ	t
Ṳ	U
ṳ	u
Ṵ	U
ṵ	u
Ṷ	U
ṷ	u
Ṹ	U
ṹ	u
Ṻ	U
ṻ	u
Ṽ	V
ṽ	v
Ṿ	V
ṿ	v
Ẁ	W
ẁ	w
Ẃ	W
ẃ	w
Ẅ	W
ẅ	w
Ẇ	W
ẇ	w
Ẉ	W
ẉ	w
Ẋ	X
ẋ	x
Ẍ	X
ẍ	x
Ẏ	Y
ẏ	y
Ẑ	Z
ẑ	z
Ẓ	Z
ẓ	z
Ẕ	Z
ẕ	z
ẖ	h
ẗ	t
ẘ	w
ẙ	y
ẛ	s
Ạ	A
ạ	a
Ả	A
ả	a
Ấ	A
ấ	a
Ầ	A
ầ	a
Ẩ	A
ẩ	a
Ẫ	A
ẫ	a
Ậ	A
ậ	a
Ắ	A
ắ	a
Ằ	A
ằ	a
Ẳ	A
ẳ	a
Ẵ	A
ẵ	a
Ặ	A
ặ	a
Ẹ	E
ẹ	e
Ẻ	E
ẻ	e
Ẽ	E
ẽ	e
Ế	E
ế	e
Ề	E
ề	e
Ể	E
ể	e
Ễ	E
ễ	e
Ệ	E
ệ	e
Ỉ	I
ỉ	i
Ị	I
ị	i
Ọ	O
ọ	o
Ỏ	O
ỏ	o
Ố	O
ố	o
Ồ	O
ồ	o
Ổ	O
ổ	o
Ỗ	O
ỗ	o
Ộ	O
ộ	o
Ớ	O
ớ	o
Ờ	O
ờ	o
Ở	O
ở	o
Ỡ	O
ỡ	o
Ợ	O
ợ	o
Ụ	U
ụ	u
Ủ	U
ủ	u
Ứ	U
ứ	u
Ừ	U
ừ	u
Ử	U
ử	u
Ữ	U
ữ	u
Ự	U
ự	u
Ỳ	Y
ỳ	y
Ỵ	Y
ỵ	y
Ỷ	Y
ỷ	y
Ỹ	Y
ỹ	y
ἀ	α
ἁ	α
ἂ	α
ἃ	α
ἄ	α
ἅ	α
ἆ	α
ἇ	α
Ἀ	Α
Ἁ	Α
Ἂ	Α
Ἃ	Α
Ἄ	Α
Ἅ	Α
Ἆ	Α
Ἇ	Α
ἐ	ε
ἑ	ε
ἒ	ε
ἓ	ε
ἔ	ε
ἕ	ε
Ἐ	Ε
Ἑ	Ε
Ἒ	Ε
Ἓ	Ε
Ἔ	Ε
Ἕ	Ε
ἠ	η
ἡ	η
ἢ	η
ἣ	η
ἤ	η
ἥ	η
ἦ	η
ἧ	η
Ἠ	Η
Ἡ	Η
Ἢ	Η
Ἣ	Η
Ἤ	Η
Ἥ	Η
Ἦ	Η
Ἧ	Η
ἰ	ι
ἱ	ι
ἲ	ι
ἳ	ι
ἴ	ι
ἵ	ι
ἶ	ι
ἷ	ι
Ἰ	Ι
Ἱ	Ι
Ἲ	Ι
Ἳ	Ι
Ἴ	Ι
Ἵ	Ι
Ἶ	Ι
Ἷ	Ι
ὀ	o
ὁ	o
ὂ	o
ὃ	o
ὄ	o
ὅ	o
Ὀ	Ο
Ὁ	Ο
Ὂ	Ο
Ὃ	Ο
Ὄ	Ο
Ὅ	Ο
ὐ	υ
ὑ	υ
ὒ	υ
ὓ	υ
ὔ	υ
ὕ	υ
ὖ	υ
ὗ	υ
Ὑ	Υ
Ὓ	Υ
Ὕ	Υ
Ὗ	Υ
ὠ	ω
ὡ	ω
ὢ	ω
ὣ	ω
ὤ	ω
ὥ	ω
ὦ	ω
ὧ	ω
Ὠ	Ω
Ὡ	Ω
Ὢ	Ω
Ὣ	Ω
Ὤ	Ω
Ὥ	Ω
Ὦ	Ω
Ὧ	Ω
ὰ	α
ά	α
ὲ	ε
έ	ε
ὴ	η
ή	η
ὶ	ι
ί	ι
ὸ	o
ό	o
ὺ	υ
ύ	υ
ὼ	ω
ώ	ω
ᾀ	α
ᾁ	α
ᾂ	α
ᾃ	α
ᾄ	α
ᾅ	α
ᾆ	α
ᾇ	α
ᾈ	Α
ᾉ	Α
ᾊ	Α
ᾋ	Α
ᾌ	Α
ᾍ	Α
ᾎ	Α
ᾏ	Α
ᾐ	η
ᾑ	η
ᾒ	η
ᾓ	η
ᾔ	η
ᾕ	η
ᾖ	η
ᾗ	η
ᾘ	Η
ᾙ	Η
ᾚ	Η
ᾛ	Η
ᾜ	Η
ᾝ	Η
ᾞ	Η
ᾟ	Η
ᾠ	ω
ᾡ	ω
ᾢ	ω
ᾣ	ω
ᾤ	ω
ᾥ	ω
ᾦ	ω
ᾧ	ω
ᾨ	Ω
ᾩ	Ω
ᾪ	Ω
ᾫ	Ω
ᾬ	Ω
ᾭ	Ω
ᾮ	Ω
ᾯ	Ω
ᾰ	α
ᾱ	α
ᾲ	α
ᾳ	α
ᾴ	α
ᾶ	α
ᾷ	α
Ᾰ	Α
Ᾱ	Α
Ὰ	Α
Ά	Α
ᾼ	Α
ῂ	η
ῃ	η
ῄ	η
ῆ	η
ῇ	η
Ὲ	Ε
Έ	Ε
Ὴ	Η
Ή	Η
ῌ	Η
ῐ	ι
ῑ	ι
ῒ	ι
ΐ	ι
ῖ	ι
ῗ	ι
Ῐ	Ι
Ῑ	Ι
Ὶ	Ι
Ί	Ι
ῠ	υ
ῡ	υ
ῢ	υ
ΰ	υ
ῤ	ρ
ῥ	ρ
ῦ	υ
ῧ	υ
Ῠ	Υ
Ῡ	Υ
Ὺ	Υ
Ύ	Υ
Ῥ	Ρ
ῲ	ω
ῳ	ω
ῴ	ω
ῶ	ω
ῷ	ω
Ὸ	Ο
Ό	Ο
Ὼ	Ω
Ώ	Ω
ῼ	Ω
‍	 
‐	-
‑	-
‒	-
–	-
—	-
―	-
‘	'
’	'
‚	,
‛	'
“	"
”	"
„	,
‟	"
•	.
…	...
▵	Δ
‧	.
‰	%o
′	'
″	''
‴	'''
‵	`
ˋ	`
‶	''
‷	'''
‹	<
›	>
‽	!?
⁄	/
⁎	*
⁏	;
⁒	%
⁓	~
⁗	''''
⁣	 
⁻	-
₋	-
₠	ECU
₡	CRC
₢	Cruzeiro
₦	NGN
₧	Spanish pesetas
₪	shekel
₫	VND
€	EUR
₭	kip
₮	MNT
₲	guarani
₳	austral
₴	Hryvnia
₵	cedi
₽	RUB
₿	bitcoin
⃣	 
Å	A
⅍	A/S
↔	←→
↕	↑↓
↚	←//-
↛	-//→
↜	←~
↝	~→
↞	←←
↟	↑↑
↠	→→
↡	↓↓
↢	←
↣	→
↤	←
↥	↑
↦	→
↧	↓
↨	↑↓
↩	←
↪	→
↫	←
↬	→
↭	←→
↮	←//→
↯	zigzag→
↼	←
↽	←
↾	↑
↿	↑
⇀	→
⇁	→
⇂	↓
⇃	↓
⇄	←→
⇅	↑↓
⇆	←→
⇇	←←
⇈	↑↑
⇉	→→
⇊	↓↓
⇋	←→
⇌	←→
⇍	←//-
⇎	←//→
⇏	-//→
⇐	←
⇒	→
⇔	←→
⇕	↑↓
⇖	←
⇗	↗
⇘	↘
⇙	↙
⇚	←
⇛	→
⇜	←
⇝	→
⇞	↑
⇟	↓
⇠	←
⇡	←
⇢	→
⇣	→
⇤	|←
⇥	→|
⇦	←
⇧	←
⇨	→
⇩	→
⇶	→→
−	-
∕	/
∗	*
∘	。
∙	.
√	✓
∞	infinity
∼	~
≒	≈
≛	⭐
≦	≤
≧	≥
≪	<<
≫	>>
⋅	.
‣	.
⋆	⭐
⋯	...
⌘	Command
⍟	⭐
⍣	⭐
⎪	|
⎯	-
⎷	✓
␀	NUL
␁	SOH
␂	STX
␃	ETX
␄	EOT
␅	ENQ
␆	ACK
␇	BEL
␈	BS
␉	HT
␊	LF
␋	VT
␌	FF
␍	CR
␎	SS
␏	SI
␐	DLE
␑	DC1
␒	DC2
␓	DC3
␔	DC4
␕	NAK
␖	SYN
␗	ETB
␘	CAN
␙	EM
␚	SUB
␛	ESC
␜	FS
␝	GS
␞	RS
␟	US
␠	SP
␡	DEL
␤	NL
①	(2)
②	(3)
③	(4)
④	(5)
⑤	(6)
⑥	(7)
⑦	(8)
⑧	(9)
⑨	(10)
⑩	(11)
⑪	(11)
⑫	(12)
⑬	(13)
⑭	(14)
⑮	(15)
⑯	(16)
⑰	(17)
⑱	(18)
⑲	(19)
⑳	(20)
⒈	 1.
⒉	 2.
⒊	 3.
⒋	 4.
⒌	 5.
⒍	 6.
⒎	 7.
⒏	 8.
⒐	 9.
⒑	 10.
⒒	 11.
⒓	 12.
⒔	 13.
⒕	 14.
⒖	 15.
⒗	 16.
⒘	 17.
⒙	 18.
⒚	 19.
⒛	 20.
⓪	(1)
⓫	(11)
⓬	(12)
⓭	(13)
⓮	(14)
⓯	(15)
⓰	(16)
⓱	(17)
⓲	(18)
⓳	(19)
⓴	(20)
⓵	(1)
⓶	(2)
⓷	(3)
⓸	(4)
⓹	(5)
⓺	(6)
⓻	(7)
⓼	(8)
⓽	(9)
⓾	(10)
⓿	(0)
═	=
─	-
━	-
╺	-
╸	-
╶	-
│	|
┃	|
⎸	|
╱	/
╳	x
╴	-
▪	■
▫	⌑
▶	→
◀	←
○	0
．	.
◡	ᴗ
◦	。
★	⭐
☆	⭐
☑	✓
☒	✗
☓	✗
☚	👈
☛	👉
☜	👈
☞	👉
☟	👇
♡	♥
♭	b
♮	 natural
♯	#
♳	Recycling Type 1
♴	Recycling Type 2
♵	Recycling Type 3
♶	Recycling Type 4
♷	Recycling Type 5
♸	Recycling Type 6
♹	Recycling Type 7
♺	Recycling Sign
♻	Recycling Sign
♼	Recycling Sign
♽	Recycling Sign
☻	😊
⚠	!
✅	✓
✔	✓
✕	x
✖	✗
✘	✗
〤	✗
✚	+
✡	⭐
✤	*
✱	*
✦	⭐
✧	⭐
✪	⭐
✫	⭐
✬	⭐
✯	⭐
✰	⭐
✳	*
✮	⭐
✵	⭐
✶	⭐
✷	⭐
✸	⭐
✽	*
✾	*
✿	*
❀	*
❁	*
❃	*
❇	*
❊	*
❋	*
❌	✗
❎	✗
❓	?
❔	?
❕	!
❗	!
❛	'
❜	'
❝	"
❞	"
❣	♥
❤	♥
🤍	♥
❥	♥
❦	♥
❧	♥
❨	(
❩	)
❲	(
❳	)
❶	(1)
❷	(2)
❸	(3)
❹	(4)
❺	(5)
❻	(6)
❼	(7)
❽	(8)
❾	(9)
❿	(10)
➀	(1)
➁	(2)
➂	(3)
➃	(4)
➄	(5)
➅	(6)
➆	(7)
➇	(8)
➈	(9)
➉	(10)
➊	(1)
➋	(2)
➌	(3)
➍	(4)
➎	(5)
➏	(6)
➐	(7)
➑	(8)
➒	(9)
➓	(10)
➔	→
➕	+
➖	-
➗	÷
➘	↘
➙	→
➚	↗
➛	→
➜	→
➝	→
➞	→
➟	→
➠	→
➡	→
➢	→
➣	→
➤	→
➥	→
➦	→
➧	→
➨	→
➩	→
➪	→
➫	→
➬	→
➭	→
➮	→
➯	→
➱	→
➲	→
➳	→
➴	↘
➵	→
➶	↗
➷	→
➸	→
➹	↗
➺	→
➻	→
➼	→
⟿	→
➽	→
➾	→
⟨	<
⟩	>
⟪	《
⟫	》
⟰	↑
⟱	↓
⟵	←
⟶	→
⟷	←→
⟸	←
⟹	→
⟺	←→
⟻	←|
⟼	|→
⠀	 
⤂	←|-
⤃	-|→
⤄	←|→
⤆	←|
⤇	|→
⤊	↑
⤋	↓
⤌	←
⤍	→
⤎	←
⤏	→
⤑	→
⤒	↑
⤓	↓
⥢	←
⥣	↑
⥤	→
⥥	↓
⥦	←→
⥧	←→
⥨	←→
⥩	←→
⥪	←=
⥫	←=
⥬	=→
⥭	=→
⥮	↑↓
⥯	↑↓
⬀	↗
⬁	↖
⬂	↘
⬃	↙
⬄	←→
⬅	←
⬆	↑
⬇	↓
⬈	↗
⬉	↖
⬊	↘
⬋	↙
⬌	←→
⬍	↑↓
⬱	←←
⬸	←
⭅	←
⭆	→
⭕	O
Ⲃ	B
ⲃ	B
Ⲉ	ε
ⲉ	ε
Ⲍ	Z
ⲍ	z
Ⲏ	H
ⲏ	H
Ⲑ	θ
ⲑ	θ
Ⲓ	I
ⲓ	I
Ⲕ	K
ⲕ	K
Ⲗ	λ
ⲗ	λ
Ⲙ	M
ⲙ	M
Ⲛ	N
ⲛ	N
Ⲟ	X
ⲟ	X
Ⲣ	P
ⲣ	P
Ⲥ	C
ⲥ	C
Ⲧ	ⲧ
Ⲭ	X
ⲭ	X
ⴰ	。
⺊	卜
⺠	民
⺩	王
⺼	⺼
⻄	西
⻆	角
⻑	長
⻣	骨
⻱	龜
〇	O
〈	<
〉	>
【	[
】	]
〔	[
〕	]
〖	[
〗	]
〘	[
〙	]
〚	[
〛	]
〜	~
〝	"
〞	"
ぁ	あ
ぃ	い
ぅ	う
ぇ	え
ぉ	お
っ	つ
ゃ	や
ゅ	ゆ
ょ	よ
ゎ	わ
゛	"
゜	°
ァ	ア
ィ	イ
ゥ	ウ
ェ	エ
ォ	オ
ッ	ツ
ャ	ヤ
ュ	ユ
ョ	ヨ
ヮ	ワ
・	.
ㆍ	.
ㇰ	ク
ㇱ	シ
ㇼ	リ
㊀	(一)
㊁	(二)
㊂	(三)
㊃	(四)
㊄	(五)
㊅	(六)
㊆	(七)
㊇	(八)
㊈	(九)
㊉	(十)
㐭	稟
㐯	庸
㐱	真
㐴	攀
㐺	乑
㑄	侮
㑹	會
㒇	舞
㒋	廝
㒚	文
㒞	儶
㒪	錫
㒰	全
㒲	財
㒳	兩
㒷	興
㒼	滿
㓉	活
㓕	滅
㓗	潔
㓜	絕
㓝	刑
㓟	批
㓤	吉刂
㓨	刺
㓷	鼻
㔱	庾
㔾	部
㕑	廚
㕕	雲
㕚	爪
㕞	刷
㕠	雙
㕡	溝
壑	溝土
濬	溝
㕭	夭
㕸	立
㖠	奈
㖭	添
㗅	胡
㗆	革
㗎	架
㗛	笑
㗳	嗒
㗾	靴
㘅	銜
㘫	阱
㘯	場
㙮	塔
㙳	轗
㚎	去
㚒	夾
蛺	虫夾
㚝	奎
㚣	姣
㚵	終
㛛	暖
㜺	盞
㝃	娩
㝈	孿
㝐	容
㝛	宿
㝷	尋
㞐	居
㞕	屑
㞗	求
㞢	出
㟗	分
㠊	嶇
㠘	嶼
㠯	以
㡭	繼
㡳	底
㡿	斥
㢡	獎
㢭	發
㢮	弛
㢴	西
㣶	邅
㣺	心
㣼	忍
㤅	愛
㤒	笨
㤵	慈
㤻	卵
㥃	悶
㥫	惇
㥬	旁
㥵	慁
㦓	撚
㦤	懿
㦧	僭
㦴	各
㦸	戟
㧃	收
㧖	扼
㧜	擸
㧡	核
㧬	手
㧵	扌否
㧺	踏
㧻	扌涿
㧼	扌表
㧽	扌固
㧾	扌忽
㨀	拼
㨁	扌直
㨂	棟
㨃	隊
㨄	扌周
㨅	扌芮
㨆	扌林
㨇	搬
㨈	擠
㨉	抿
㨋	扌者
㨍	手
㨏	扌炭
㨐	扌保
㨒	扌奎
㨓	扌罕
㨔	扌咸
㨕	扌盈
㨗	倢
㨘	扌省
㨢	扌能
㨪	晃
㨾	樣
㩁	確
㩗	攜
㩜	攬
㩦	攜
㩧	扌暴
㩻	危
㪅	更
㪉	合
㪚	散
㪣	敵
㪯	舉
㪿	折
㫃	偃
㫚	勿日
㫺	昔
㬅	曼
㬇	喚
㬎	濕
㬢	曦
㬨	嚇
㬱	朁
㬹	肘
㭍	柒
㭨	椰
㯃	七
㯋	穎
㯖	槌
棏	槌
㭙	槌
㯥	曹
㯭	盧
㯶	棕
㯽	檳
㰍	櫳
㱏	正
㱙	朽
㱦	奇
㱿	殼
㲒	抱
㲓	毧
㳄	涎
㴔	翕
㵒	沸
㷉	尉
㷛	煲
㷠	粦
㸃	點
㹃	非
㼈	羅
㽣	域
㾗	痕
㾙	希
嫚	女曼
睎	目希
㿝	白
㿟	皎
㿭	斥
㿷	糙
㿺	斥
䀋	鹽
盬	鹽池
䀠	瞿
䀢	瞬
䀹	睫
䁽	立
䂫	夯
䂿	踏
䃉	玫
䃘	踁
䃛	鏈
䄂	袖
䄺	弟
䅲	耆
䆋	秋
䆔	竉
䆫	窗
䈇	罩
䉵	饌
䉺	米
䊁	籸
䊜	糰
䋄	網
䋲	繩
䌄	更
䌓	繁
䌥	縯
䌩	襪
䌫	纜
䌹	耿
䍇	乏
䏕	飪
䏻	能
䐙	⺼革
䑕	鼠
䒒	苕
䓁	等
䓤	葱
䔛	檾
䕌	稚
䖈	虐
䖍	虔
䖏	處
䖙	臥虒
䖟	蝱
䖣	蚤
䖵	昆
䘚	卒
䘮	喪
䘺	綻
䙜	縫
䙝	褻
䙺	燒
䚻	謠
䛡	話
䛻	誘
䛼	譭
䜊	嘈
䜌	𤔪
䜶	豆
䝋	豵
䝜	俊
䝤	獠
䝱	脅
䞓	貞
䞘	乞
䟉	獨
䟜	內
䟴	辰
䟽	疏
䠋	卑
䢉	農
䢫	隨
䤚	里
䥀	典
䥨	鑢
䦓	窺
䧟	陷
䧳	雌
牝	雌
牡	雄
䧺	雄
䨘	霰
䨣	革
䨩	神
䨮	雪
䩞	詹
䪂	棘
䪊	龓
䪿	顖
髤	鬍
髥	鬍
髲	鬍
髳	鬍
髵	鬍
髶	鬍
髺	鬍
䫇	鬍
髯	鬍
䭮	鬍
顙	額
䬒	颼
嗖	颼
䬡	翥
䭰	奉
䯌	尻
䯻	髻
䰗	龜
䱇	鱔
䱋	鰩
䱷	漁
鯧	倉
䱽	倉
䲁	魚尉
䲔	鯨
䴹	果
䶏	涕
訃	報喪
丄	土
丌	π
丒	刃
丗	世
丠	丘
両	兩
丣	卯
丨	|
丱	卝
丳	串
乆	久
乇	委
乕	虎
乗	乘
乢	尤
乣	糾
乨	亂
乫	加
乴	折
乵	尤
乶	甫
乷	沙
乿	亂
亀	龜
亁	乾
亃	粦乚
亄	一
争	爭
亊	事
亍	丁
亓	其
亖	四
亗	歲
亜	亞
亝	齊
亣	大
亯	享
亰	京
亱	夜
亷	廉
亼	集
亾	亡
什	甚
仂	働
仃	停
仈	亻八
仉	亻几
仌	冰
仏	佛
仐	人
仒	冰
仚	人
仜	亻工
仝	全
仟	千
仠	亻干
仡	亻乞
仢	亻勺
仦	亻小
仧	上人
仭	亻刃
仞	亻刃
仮	反
仯	亻少
仱	亻今
仳	亻比
仴	亻月
仸	亻夭
仹	亻丰
仺	倉
仼	任
仾	低
伀	亻公
伂	亻沛
儚	亻夢
伃	妤
伄	吊
伅	亻屯
伆	亻勿
伇	役
伈	亻心
伌	亻厄
伒	亻斤
伓	亻不
伔	亻冗
伖	亻友
伜	亻卒
倅	亻卒
伨	亻勻
伩	信
伭	亻玄
伮	亻奴
伱	你
伲	你
伳	亻世
伵	亻四
伹	亻且
伻	亻平
伾	亻丕
伿	亻只
佁	亻台
佂	亻正
佄	亻甘
佅	亻未
佉	亻去
佊	彼
佋	紹
佌	亻此
佒	亻央
佖	亻必
佗	駝
佧	亻卡
佮	亻合
佰	百
佲	亻名
佴	亻耳
佸	亻舌
佹	亻危
佽	亻次
侀	亻刑
侁	駪
侂	託
侄	姪
侅	賅
侇	亻夷
侉	誇
